,artist,album,track_name,track_id,release_date,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
121,Justin Bieber,My World 2.0,U Smile,6Xw2FLih8m5ItDbyP992HH,2010-01-01,0.705,0.59,1,-5.308,1,0.0284,0.0,0.116,0.421,112.565,196907,3
122,Justin Bieber,Never Say Never - The Remixes,Never Say Never,5GYbkDveRD2I8M5ZJ14hWn,2011-01-01,0.739,0.807,0,-5.063,1,0.0652,0.0,0.295,0.632,97.048,227853,4
123,Justin Bieber,Never Say Never - The Remixes,That Should Be Me,42wmRq3kfUUuyszlkWQbPS,2011-01-01,0.467,0.631,5,-6.762,0,0.0318,0.0,0.0596,0.3,139.962,230787,4
124,Justin Bieber,Believe (Deluxe Edition),All Around The World,1Mg8vLBYwizu7AuhYQO64V,2012-06-15,0.689,0.816,3,-3.951,0,0.178,2.42e-06,0.181,0.776,127.972,244547,4
125,Justin Bieber,Believe (Deluxe Edition),Boyfriend,2L7rZWg9RLxIwnysmxm4xk,2012-06-15,0.717,0.55,10,-6.019,0,0.0519,0.00198,0.126,0.331,96.979,171333,4
126,Justin Bieber,Believe (Deluxe Edition),As Long As You Love Me,0pwYLVXVknPSGUQb39cePC,2012-06-15,0.571,0.873,0,-3.382,0,0.1,0.0,0.361,0.613,139.691,229467,4
127,Britney Spears,Oops!... I Did It Again,Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,2000-05-16,0.751,0.834,1,-5.444,0,0.0437,1.77e-05,0.355,0.894,95.053,211160,4
128,Britney Spears,...Baby One More Time (Digital Deluxe Version),...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,1999-01-12,0.759,0.699,0,-5.745,0,0.0307,0.000131,0.443,0.907,92.96,211067,4
129,Britney Spears,Circus (Deluxe Version),Womanizer,4fixebDZAVToLbUCuEloa2,2008-12-02,0.724,0.695,11,-5.226,1,0.0622,0.0,0.0889,0.235,139.0,224400,4
130,Kesha,Warrior (Deluxe Version),Die Young,6mnjcTmK8TewHfyOp3fC9C,2012-11-30,0.711,0.7,1,-4.805,0,0.046,0.000125,0.215,0.801,128.001,211920,4
